Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,URL_Entropy,Domain_Entropy,Subdomain_Count,Digit_Count,Special_Char_Count,Uppercase_Ratio,Domain_Age,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
northwestmail.weebly.com,0,0,0,0,0,0,0,0,4.0895524525606675,3.886842188131012,1,0,0,0.0,-1,1,1,1,1,1
l.ead.me,0,0,0,1,0,0,0,0,4.0559581516151235,2.5,1,0,0,0.17391304347826086,-1,1,1,1,1,1
q-r.to,0,0,0,1,0,0,0,1,3.844232898763192,2.584962500721156,0,0,0,0.09523809523809523,-1,1,0,1,0,1
freemobile0.godaddysites.com,0,0,0,0,0,0,0,0,4.1885226220933465,3.8962915290459277,1,1,0,0.0,-1,1,1,1,1,1
ezdriverma.com-xaaaqo.vip,0,0,0,0,0,0,0,1,4.1829073264808265,3.763856189774725,1,0,0,0.0,-1,1,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,5.55496643510391,2.9735572622751856,1,15,7,0.21714285714285714,-1,1,0,1,0,1
sid-check-aktivierenupdates.firebaseapp.com,0,0,0,0,0,0,0,1,4.21929452566698,4.08267318468309,1,0,0,0.0,-1,1,1,1,1,1
txtag.org-txtagstorefrontabu.xin,0,0,0,0,0,0,0,1,3.930007492106357,3.6473683589017414,1,0,0,0.0,-1,1,1,1,1,1
vivetuaventurasinlimites360.com,0,0,0,0,0,0,0,0,4.24615711897243,3.913400745661378,0,3,0,0.0,-1,1,1,1,1,1
jibrain.com.todeschinialdeota.com.br,0,0,0,0,0,0,0,0,4.1081939295187775,3.8502090290998976,3,0,0,0.0,-1,1,1,1,1,1
l.ead.me,0,0,0,1,0,0,0,0,3.9690016298759927,2.5,1,0,0,0.13043478260869565,-1,1,1,1,1,1
q-r.to,0,0,0,1,0,0,0,1,3.9394709940012875,2.584962500721156,0,0,0,0.19047619047619047,-1,0,0,1,0,1
loyolauniversitychicago-svfif.formstack.com,0,0,1,2,0,0,0,1,4.342698432173408,4.126862359796814,1,0,0,0.0,-1,1,0,1,0,1
thetollroads-paytollwrc.world,0,0,0,0,0,0,0,1,3.860320777833045,3.6469666682736497,0,0,0,0.0,-1,1,1,1,1,1
xipixig120.wixsite.com,0,0,0,1,0,0,0,0,4.043337052632603,3.624680346973648,1,3,0,0.0,-1,1,0,1,0,1
sites.google.com,0,0,1,3,0,0,0,0,4.4169875089597594,3.202819531114783,1,2,2,0.02631578947368421,-1,1,0,1,1,1
l.ead.me,0,0,0,1,0,0,0,0,3.9690016298759927,2.5,1,0,0,0.08695652173913043,-1,1,1,1,1,1
rioapzxoxoz.firebaseapp.com,0,0,0,0,0,0,0,0,4.016875695766564,3.661932872373582,1,0,0,0.0,-1,1,1,1,1,1
metamaskwalletextensionv.webflow.io,0,0,0,0,0,0,0,0,4.101508755867878,3.8325950745091335,1,0,0,0.0,-1,1,1,1,1,1
sites.google.com,0,0,0,2,0,0,0,0,4.419305040629888,3.202819531114783,1,0,0,0.0,-1,1,0,1,1,1
mentorship3211.firebaseapp.com,0,0,0,0,0,0,0,0,4.182336834024969,4.056564762130955,1,4,0,0.0,-1,1,1,1,1,1
index-start-trezor-support.webflow.io,0,0,0,0,0,0,0,1,4.191296466597355,4.033513500647141,1,0,0,0.0,-1,1,1,1,1,1
l.ead.me,0,0,0,1,0,0,0,0,4.0559581516151235,2.5,1,0,0,0.13043478260869565,-1,1,1,1,1,1
mondialrelay-suivicolisfr.com,0,0,1,2,0,0,0,1,4.910603654133603,3.9093680639438846,0,46,7,0.0,-1,1,1,1,1,1
q-r.to,0,0,0,1,0,0,0,1,3.9394709940012875,2.584962500721156,0,0,0,0.14285714285714285,-1,1,0,1,0,1
sites.google.com,0,0,0,3,0,0,0,0,4.18676296403633,3.202819531114783,1,0,0,0.0,-1,1,0,1,1,1
bit.ly,0,0,0,1,0,0,1,0,3.936260027531527,2.584962500721156,0,2,0,0.09090909090909091,-1,1,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,5.48866489200255,2.9735572622751856,1,20,7,0.21910112359550563,-1,1,0,1,0,1
tinyurl.com,0,0,0,1,0,0,1,0,4.182005814760213,3.459431618637298,0,2,0,0.0,-1,1,0,1,0,1
bit.ly,0,0,0,1,0,0,1,0,4.027169118440618,2.584962500721156,0,1,0,0.09090909090909091,-1,1,0,1,0,1
bestesgrous.firebaseapp.com,0,0,0,0,0,0,0,0,3.9511943630832227,3.7178504651264315,1,0,0,0.0,-1,1,1,1,1,1
qrco.de,0,0,0,1,0,0,0,0,4.1336606896881865,2.8073549220576046,0,0,0,0.16,-1,0,0,1,0,1
webmail-100691.weeblysite.com,0,0,0,0,0,0,0,1,4.313459750171824,4.03039478823102,1,6,0,0.0,-1,1,0,1,0,1
juno-webmail-108608.weeblysite.com,0,0,0,0,0,0,0,1,4.507432777857286,4.263933429485634,1,6,0,0.0,-1,1,0,1,0,1
qrco.de,0,0,0,1,0,0,0,0,4.152391277629867,2.8073549220576046,0,2,0,0.09090909090909091,-1,0,0,1,0,1
teamservice67978.wixsite.com,0,0,0,1,0,0,0,0,4.215589437882739,3.9232517969803373,1,5,0,0.0,-1,1,0,1,0,1
secure.txtagrhk.xin,0,0,0,0,0,0,0,0,3.9232517969803373,3.7216117239699016,1,0,0,0.0,-1,1,1,1,1,1
setsuokato32688.activehosted.com,0,0,0,2,0,0,0,0,4.226143834398879,3.952819531114783,1,6,0,0.0,-1,1,0,1,0,1
spk-reaktivierung-2025.xyz,0,0,0,2,0,0,0,1,4.543465189601648,4.238901256602631,0,4,0,0.0,-1,1,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,5.57196621833836,2.9735572622751856,1,25,7,0.13714285714285715,-1,1,0,1,0,1
ccnyrequestcancellation.weebly.com,0,0,0,0,0,0,0,0,4.135940488298283,3.8307259014503234,1,0,0,0.0,-1,1,1,1,1,1
telstrraaaaa.weebly.com,0,0,0,0,0,0,0,0,3.840018266288633,3.4642346527265664,1,0,0,0.0,-1,1,1,1,1,1
paytollrza.vip,0,0,0,0,0,0,0,0,3.729446194905256,3.378783493486176,0,0,0,0.0,-1,1,1,1,1,1
bit.ly,0,0,0,1,0,0,1,0,3.936260027531527,2.584962500721156,0,1,0,0.09090909090909091,-1,1,0,1,0,1
cebjiankb8.firebaseapp.com,0,0,0,0,0,0,0,0,4.164299088064471,3.8441065448145384,1,1,0,0.0,-1,1,1,1,1,1
q-r.to,0,0,0,1,0,0,0,1,3.844232898763192,2.584962500721156,0,0,0,0.047619047619047616,-1,1,0,1,0,1
help--help--kuccoin--logiegn.webflow.io,0,0,0,0,0,0,0,1,4.115601562950722,3.7914365135676227,1,0,0,0.0,-1,1,0,1,0,1
shaw-101196.weeblysite.com,0,0,0,0,0,0,0,1,4.278584802350185,4.103909910282364,1,6,0,0.0,-1,1,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,5.518837755575565,2.9735572622751856,1,13,7,0.18857142857142858,-1,1,0,1,0,1
binance.uk.net,0,0,0,0,0,0,0,0,3.729446194905256,3.1820058147602137,1,0,0,0.0,-1,1,1,1,1,1
xn--d1aqfkf.xn--p1ai,0,1,1,3,0,0,0,1,4.745624376511677,3.4219280948873627,0,2,2,0.024390243902439025,-1,1,0,1,0,1
allegrolokalnie.0912844u.shop,0,0,0,0,0,0,0,0,4.424267553240269,4.142295219190901,1,7,0,0.0,-1,1,1,1,1,1
load-page-now-100054287.firebaseapp.com,0,0,0,0,0,0,0,1,4.631328385912462,4.419391000636163,1,9,0,0.0,-1,1,1,1,1,1
optikgeneral.com,0,0,1,4,0,0,0,0,4.187680270995123,3.75,0,2,0,0.037037037037037035,-1,1,1,1,1,1
thetollroads-paytollwdf.world,0,0,0,0,0,0,0,1,3.860320777833045,3.6469666682736497,0,0,0,0.0,-1,1,1,1,1,1
zuza.stefek.szczecin.pl,0,0,1,4,0,0,0,0,4.218820387022781,3.588354347173233,2,1,0,0.03333333333333333,-1,1,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,5.591004982879803,2.9735572622751856,1,19,10,0.18947368421052632,-1,1,0,1,0,1
l.ead.me,0,0,0,1,0,0,0,0,4.0559581516151235,2.5,1,0,0,0.043478260869565216,-1,1,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,5.527648040526045,2.9735572622751856,1,15,7,0.22285714285714286,-1,1,0,1,0,1
adsincoinciousin.firebaseapp.com,0,0,0,0,0,0,0,0,4.037089431754239,3.7067475629608078,1,0,0,0.0,-1,1,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,5.610051024909863,2.9735572622751856,1,18,7,0.19428571428571428,-1,1,0,1,0,1
thetollroads-tollevasionxaf.world,0,0,0,0,0,0,0,1,4.032946376831121,3.8101803025948002,0,0,0,0.0,-1,1,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,5.521077122707209,2.9735572622751856,1,13,7,0.2057142857142857,-1,1,0,1,0,1
ebisa2023agost.webcindario.com,0,0,0,1,0,0,0,0,4.420233823442131,4.031401845392172,1,4,0,0.0,-1,0,0,1,0,1
txtag.com-flmt.xin,0,0,0,0,0,0,0,1,3.926571651178273,3.57243125132212,1,0,0,0.0,-1,1,1,1,1,1
account.booking.com,0,0,1,1,0,0,0,0,5.767016691366873,3.3660913291191927,1,39,1,0.4166666666666667,-1,1,0,1,0,1
l.ead.me,0,0,0,1,0,0,0,0,3.8492239123906247,2.5,1,0,0,0.08695652173913043,-1,1,1,1,1,1
jhgfdgf.w3spaces.com,0,0,0,0,0,0,0,0,4.0472990984266435,3.8219280948873626,1,1,0,0.0,-1,1,1,1,1,1
q-r.to,0,0,0,1,0,0,0,1,3.748994803525097,2.584962500721156,0,1,0,0.09523809523809523,-1,1,0,1,0,1
boc-update.firebaseapp.com,0,0,0,0,0,0,0,1,4.071581588126285,3.8441065448145384,1,0,0,0.0,-1,1,1,1,1,1
sukienvip-ff.gerarna.io.vn,0,0,0,0,0,0,0,1,4.12728313431329,3.7671834678914613,2,0,0,0.0,-1,1,0,1,0,1
sso--auth-kraken-com--connect.webflow.io,0,0,0,0,0,0,0,1,4.208712844327839,3.9873261452560085,1,0,0,0.0,-1,1,0,1,0,1
docs.google.com,0,0,1,4,0,0,0,0,5.198225011781163,2.9735572622751856,1,12,0,0.21428571428571427,-1,1,0,1,0,1
webmail-108244.weeblysite.com,0,0,0,0,0,0,0,1,4.366091329119192,4.0993603054724,1,6,0,0.0,-1,1,0,1,0,1
ezdrive.com-dbv5.xin,0,0,0,0,0,0,0,1,4.28022625367366,3.8219280948873626,1,1,0,0.0,-1,1,1,1,1,1
usps.com-tracking-usxxxw.cc,0,0,0,0,0,0,0,1,4.107017709595357,3.8841550945958043,1,0,0,0.0,-1,1,1,1,1,1
almardoof.com,0,0,0,4,0,0,0,0,4.190757151525363,3.0269868333592873,0,2,0,0.038461538461538464,-1,1,0,1,0,1
nthumishingreso.shop,0,0,0,0,0,0,0,0,3.7089660826946234,3.5464393446710156,0,0,0,0.0,-1,1,1,1,1,1
qrco.de,0,0,0,1,0,0,0,0,4.061482186720776,2.8073549220576046,0,1,0,0.045454545454545456,-1,0,0,1,0,1
