Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,URL_Entropy,Domain_Entropy,Subdomain_Count,Digit_Count,Special_Char_Count,Uppercase_Ratio,Domain_Age,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
yalealumnimagazine.com,0,0,1,3,0,0,0,0,4.440807802553577,3.5160276412662306,0,6,0,0.0,-1,1,0,1,0,0
movies.msn.com,0,0,1,3,0,0,0,0,4.2096887102254525,3.039148671903071,1,0,0,0.0,-1,1,1,1,1,0
missouri-divorce.net,0,0,1,1,0,0,0,1,4.11020693173857,3.684183719779189,0,0,0,0.0,-1,1,0,1,0,0
worldsquash.org,0,0,0,1,0,0,0,0,4.152936974642617,3.506890595608519,0,4,1,0.0,-1,1,0,1,0,0
riceowls.com,0,0,1,4,0,0,0,0,4.0842531550036645,3.2516291673878226,0,2,0,0.0,-1,0,0,1,0,0
adelaide.edu.au,0,0,1,5,0,0,0,0,4.063828871250852,2.689246428509158,1,0,0,0.0,-1,1,1,1,1,0
playstationmoveprice.net,0,0,0,0,0,0,0,0,4.057313082302175,3.7720552088742005,0,0,0,0.0,-1,1,1,1,1,0
geo.craigslist.org,0,0,0,3,0,0,0,0,3.847085133395088,3.3502090290998976,1,0,0,0.0,-1,1,1,1,1,0
hosting-22902.tributes.com,0,0,1,2,0,0,0,1,4.639917119149911,4.026986833359287,1,13,0,0.0,-1,1,1,1,1,0
girlstalkinsmack.com,0,0,1,1,0,0,0,0,4.316155184884791,3.6219280948873624,0,0,0,0.0,-1,1,0,1,0,0
news.cornell.edu,0,0,1,3,0,0,0,0,4.279182109668347,3.327819531114783,1,2,0,0.04477611940298507,-1,1,0,1,0,0
montreal.about.com,0,0,1,4,0,0,1,0,4.162093115853558,3.4613201402110088,1,0,0,0.0,-1,1,1,1,1,0
createspace.com,0,0,0,1,0,0,0,0,4.035273502696889,3.139572261986723,0,6,0,0.0,-1,1,0,1,0,0
learningpiano.net,0,0,0,0,0,0,0,0,3.831401845392172,3.263933429485634,0,0,0,0.0,-1,1,1,1,1,0
wheretostay.com,0,0,1,1,0,0,0,0,4.470463821688583,3.506890595608519,0,4,0,0.046875,-1,0,0,1,0,0
fandango.com,0,0,1,2,0,0,0,0,4.50392483855211,3.084962500721156,0,6,0,0.0,-1,1,0,1,0,0
voices.com,0,0,0,2,0,0,0,0,4.125042120448046,2.9219280948873623,0,0,0,0.04081632653061224,-1,1,0,1,0,0
concertstagedesign.com,0,0,0,0,0,0,0,0,3.9928705166358998,3.572623663895164,0,0,0,0.0,-1,1,0,1,0,0
aon.com,0,0,1,5,0,0,0,0,4.201996015103917,2.5216406363433186,0,0,0,0.0,-1,0,0,1,0,0
new.ca.music.yahoo.com,0,0,0,1,0,0,0,0,4.162057815120259,3.481714572986073,3,0,0,0.0,-1,1,1,1,1,0
fourtwofivefilms.com,0,0,0,1,0,0,0,0,4.129184812590067,3.6464393446710157,0,0,0,0.0,-1,1,1,1,1,0
absoluteastronomy.com,0,0,0,2,0,0,0,0,4.2035382418621845,3.6304126608739984,0,0,0,0.022222222222222223,-1,1,1,1,1,0
robertschwartzcpa.com,0,0,0,0,0,0,0,0,3.844384532235916,3.6537567082870015,0,0,0,0.0,-1,1,1,1,1,0
openlibrary.org,0,0,1,2,0,0,0,0,4.41898695845306,3.456564762130954,0,4,0,0.0,-1,1,0,1,0,0
francesfarmersrevenge.com,0,0,1,3,0,0,0,0,4.132566473501974,3.3794705707972525,0,0,0,0.0,-1,1,1,1,1,0
linkedin.com,0,0,0,2,0,0,0,0,4.152895277907599,3.2516291673878226,0,0,0,0.0,-1,1,0,1,0,0
murakami08.wordpress.com,0,0,0,0,0,0,0,0,4.134468568039292,3.855388542207534,1,2,0,0.0,-1,1,1,1,1,0
baseball-reference.com,0,0,0,2,0,0,0,1,4.199876085498173,3.4771752334356245,0,0,0,0.06666666666666667,-1,1,0,1,0,0
mirandakerrfan.net,0,0,0,0,0,0,0,0,3.9048632454520105,3.266332639970623,0,0,0,0.0,-1,1,1,1,1,0
gladstone.uoregon.edu,0,0,0,2,0,0,0,0,4.218171939471839,3.463280517810811,1,0,1,0.0,-1,1,1,1,1,0
nme.com,0,0,0,2,0,0,0,0,4.113269689515109,2.5216406363433186,0,0,0,0.0,-1,1,0,1,0,0
npr.org,0,0,1,3,0,0,0,0,4.3233963690835795,2.5216406363433186,0,8,1,0.016129032258064516,-1,0,0,1,0,0
